id,action,timestamp,user_id,ticket_id
1,Ticket created by Michelle Cherry Fernandez,2025-10-24 02:49:56.941015,2,1
2,Ticket auto-assigned to Sophia Paloma,2025-10-24 02:49:56.995113,2,1
3,Ticket created by Michelle Cherry Fernandez,2025-10-24 02:50:18.746457,2,2
4,Ticket auto-assigned to Limuel Ongtingco,2025-10-24 02:50:18.756861,2,2
5,Ticket reassigned from Limuel Ongtingco to Zxakira Napoles by Limuel Ongtingco.,2025-10-24 02:51:38.574728,1,2
6,Status changed from Open to Open by Limuel Ongtingco. Remark: Ticket for Kira,2025-10-24 02:51:38.574732,1,2
7,Ticket created by Limuel Ongtingco,2025-10-24 02:52:19.350562,1,3
8,Ticket auto-assigned to Limuel Ongtingco,2025-10-24 02:52:19.363067,1,3
9,Ticket created by Limuel Ongtingco,2025-10-24 02:52:39.202412,1,4
10,Ticket auto-assigned to Sophia Paloma,2025-10-24 02:52:39.206494,1,4
11,RT Ticket Number '1421' added by Limuel Ongtingco.,2025-10-24 06:19:28.413906,4,3
12,Ticket created by Limuel Ongtingco,2025-10-24 07:55:08.990303,1,5
13,Ticket auto-assigned to Limuel Ongtingco,2025-10-24 07:55:09.091532,1,5
14,Ticket status automatically changed to Open by Limuel Ongtingco viewing it.,2025-10-24 07:55:43.434984,4,5
15,RT Ticket Number '1425' added by Limuel Ongtingco.,2025-10-24 07:56:05.279065,4,5
16,Remark added by Limuel Ongtingco: Payment received and verified. Client has an outstanding balance,2025-10-24 08:05:13.094306,4,3
17,Status changed from Open to Resolved by Limuel Ongtingco.,2025-10-24 08:05:13.094310,4,3
18,RT Ticket Number '1419' added by Zxakira Napoles.,2025-10-24 08:06:16.853330,3,2
19,Remark added by Zxakira Napoles: Doneeeeeee,2025-10-24 08:06:16.853334,3,2
20,Status changed from Open to Resolved by Zxakira Napoles.,2025-10-24 08:06:16.853336,3,2
21,Status changed from Open to Resolved by Limuel Ongtingco.,2025-10-24 08:07:08.610444,1,1
22,Status changed from Open to Resolved by Limuel Ongtingco.,2025-10-24 08:07:44.543116,1,4
23,RT Ticket Number '1423' added by Limuel Ongtingco.,2025-10-24 08:09:58.375257,1,4
24,RT Ticket Number '1417' added by Limuel Ongtingco.,2025-10-24 08:10:06.676705,1,1
25,Ticket created by Limuel Ongtingco,2025-10-26 23:54:16.700650,1,6
26,Ticket auto-assigned to Sophia Paloma,2025-10-26 23:54:16.710374,1,6
27,Ticket status automatically changed to Open by Sophia Paloma viewing it.,2025-10-26 23:57:11.231798,5,6
28,Ticket created by Limuel Ongtingco,2025-10-26 23:58:17.008415,1,7
29,Ticket auto-assigned to Zxakira Napoles,2025-10-26 23:58:17.015229,1,7
30,Ticket created by Limuel Ongtingco,2025-10-27 00:00:36.347313,1,8
31,Ticket auto-assigned to Zxakira Napoles,2025-10-27 00:00:36.354633,1,8
34,Ticket created by Limuel Ongtingco,2025-10-27 00:03:02.842104,1,10
35,Ticket auto-assigned to Zxakira Napoles,2025-10-27 00:03:02.902296,1,10
36,Ticket reassigned from Zxakira Napoles to Limuel Ongtingco by Limuel Ongtingco.,2025-10-27 00:04:17.924109,1,10
37,Ticket status automatically changed to Open by Zxakira Napoles viewing it.,2025-10-27 00:04:30.840421,3,7
38,Ticket created by Limuel Ongtingco,2025-10-27 00:05:11.875317,1,11
39,Ticket auto-assigned to Sophia Paloma,2025-10-27 00:05:11.891740,1,11
40,Ticket created by Limuel Ongtingco,2025-10-27 00:06:41.090302,1,12
41,Ticket auto-assigned to Sophia Paloma,2025-10-27 00:06:41.162107,1,12
42,Ticket created by Limuel Ongtingco,2025-10-27 00:07:38.516884,1,13
43,Ticket auto-assigned to Sophia Paloma,2025-10-27 00:07:38.535348,1,13
44,Ticket reassigned from Sophia Paloma to Limuel Ongtingco by Limuel Ongtingco.,2025-10-27 00:07:44.261665,1,13
45,RT Ticket Number '1427' added by Limuel Ongtingco.,2025-10-27 00:08:13.903325,1,6
46,Ticket created by Limuel Ongtingco,2025-10-27 00:09:43.501262,1,14
47,Ticket auto-assigned to Sophia Paloma,2025-10-27 00:09:43.504880,1,14
48,Ticket status automatically changed to Open by Sophia Paloma viewing it.,2025-10-27 00:10:43.208552,5,14
49,Ticket created by Limuel Ongtingco,2025-10-27 00:10:54.883654,1,15
50,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 00:10:54.893503,1,15
51,RT Ticket Number '1429' added by Zxakira Napoles.,2025-10-27 00:11:28.071110,3,7
52,Remark added by Zxakira Napoles: Waiting for verification,2025-10-27 00:11:28.071114,3,7
53,Ticket status automatically changed to Open by Zxakira Napoles viewing it.,2025-10-27 00:12:17.021398,3,8
54,Status changed from Open to New by Sophia Paloma.,2025-10-27 00:12:25.449344,5,14
55,Ticket status automatically changed to Open by Sophia Paloma viewing it.,2025-10-27 00:12:25.583384,5,14
56,Ticket status automatically changed to Open by Sophia Paloma viewing it.,2025-10-27 00:12:50.839488,5,12
57,Ticket created by Limuel Ongtingco,2025-10-27 00:14:22.993773,1,16
58,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 00:14:23.001098,1,16
59,Ticket created by Limuel Ongtingco,2025-10-27 00:15:23.293029,1,17
60,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 00:15:23.304560,1,17
61,Ticket reassigned from Limuel Ongtingco to Zxakira Napoles by Limuel Ongtingco.,2025-10-27 00:15:45.071424,1,16
62,Ticket status automatically changed to Open by Sophia Paloma viewing it.,2025-10-27 00:16:46.266146,5,11
63,RT Ticket Number '1431' added by Limuel Ongtingco.,2025-10-27 00:16:46.689323,1,8
64,Ticket reassigned from Limuel Ongtingco to Sophia Paloma by Limuel Ongtingco.,2025-10-27 00:18:04.645363,1,17
65,Remark added by Zxakira Napoles: Waiting for verification,2025-10-27 00:19:05.945498,3,8
66,Ticket created by Limuel Ongtingco,2025-10-27 00:20:18.593418,1,18
67,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 00:20:18.598539,1,18
68,Ticket created by Limuel Ongtingco,2025-10-27 00:20:37.247358,1,19
69,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 00:20:37.256231,1,19
70,Ticket created by Limuel Ongtingco,2025-10-27 00:23:05.514254,1,20
71,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 00:23:05.525471,1,20
72,Ticket reassigned from Limuel Ongtingco to Zxakira Napoles by Limuel Ongtingco.,2025-10-27 00:23:19.247435,1,20
73,Ticket created by Limuel Ongtingco,2025-10-27 00:25:23.350852,1,21
74,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 00:25:23.367451,1,21
